;     No;Personnel Area;Pers. Number;Employee Name;Position;Personnel Subarea;Lv;TMK;Birthdate;Gender;Age;Length of Service;Pend;Nama Sekolah/Univ;Jurusan
;78;ICBP-Noodle Bandung;67324981;Budi Hartanto;Tax Staff;ADM Fin.& Acct.;STAFF;11/11/2022;05/08/1999;Male;26.0;2.0;S1;Universitas Trisakti;Perpajakan
;79;ICBP-Noodle Semarang;81234678;Rika Amelia;Org Dev Staff;ADM HR;STAFF;18/06/2020;17/02/1996;Female;29.0;5.3;S1;Universitas Indonesia;Psikologi
;80;ICBP-Noodle Surabaya;67128934;Adi Wijaya;General Acct Spv;ADM Fin.& Acct.;SUPERVISOR;09/04/2015;22/11/1989;Male;35.0;10.4;S1;Universitas Diponegoro;Akuntansi
;81;ICBP-Noodle Cirebon;73489215;Dewi Kurniasari;Marketing Admin;MKT Marketing;STAFF;22/08/2021;10/03/1998;Female;27.0;4.1;S1;Universitas Padjadjaran;Manajemen Pemasaran
;82;ICBP-Noodle Medan;89123475;Irwan Prakoso;Production Mgr, Act;MFG Production;MANAGER;06/07/2013;12/01/1985;Male;40.0;12.2;S1;Institut Teknologi Bandung;Teknik Industri
;83;ICBP-Noodle Cibitung;65432187;Putri Ananda;PR Staff;ADM HR;STAFF;15/10/2022;02/06/2000;Female;25.0;2.0;S1;Universitas Indonesia;Ilmu Komunikasi
;84;ICBP-Noodle Palembang;78123496;Yogi Setiawan;QC FG Section Spv;R&D QC/QA;SUPERVISOR;19/02/2016;11/09/1989;Male;36.0;9.6;S1;Universitas Airlangga;Teknologi Pangan
;85;ICBP-Noodle Lampung;72938412;Laila Nurjanah;HRIS Staff;ADM HR;STAFF;02/12/2020;28/07/1997;Female;28.0;4.8;S1;Universitas Gunadarma;Sistem Informasi
;86;ICBP-Noodle Banjarmasin;82341965;Fajar Kurniawan;Finance Spv;ADM Fin.& Acct.;SUPERVISOR;12/09/2017;14/04/1991;Male;34.0;8.0;S1;Universitas Brawijaya;Akuntansi
;87;ICBP-Noodle Pontianak;67129438;Dini Safitri;Secretary to GM HR;ADM HR;STAFF;20/05/2019;05/12/1995;Female;29.0;6.3;S1;Universitas Indonesia;Administrasi Perkantoran
;88;ICBP-Noodle Manado;89213457;Rahmat Hidayat;Warehouse Spv;MFG Warehouse;SUPERVISOR;17/04/2016;22/08/1989;Male;36.0;9.4;S1;Universitas Negeri Jakarta;Manajemen Logistik
;89;ICBP-Noodle Makassar;71298346;Mega Pratiwi;Tax & Acct Spv;ADM Fin.& Acct.;SUPERVISOR;05/08/2015;11/01/1990;Female;35.0;10.1;S1;Universitas Diponegoro;Akuntansi
;90;ICBP-Noodle Jambi;63472891;Bagus Santoso;QC RM Section Spv;R&D QC/QA;SUPERVISOR;09/03/2014;25/05/1988;Male;37.0;11.5;S1;Universitas Gadjah Mada;Kimia
;91;ICBP-Noodle Tj. Api Api;78912346;Indah Wulandari;Org Dev Spv;ADM HR;SUPERVISOR;15/09/2016;04/02/1990;Female;35.0;9.1;S1;Universitas Indonesia;Psikologi
;92;ICBP-Noodle DKI;82349162;Arman Sutrisno;Technical Spv;MFG Technical;SUPERVISOR;11/07/2017;21/10/1991;Male;34.0;8.2;S1;Universitas Sebelas Maret;Teknik Mesin
;93;ICBP-Noodle Cirebon;76123894;Rini Anggraini;HR Admin;ADM HR;STAFF;02/04/2021;13/08/1997;Female;28.0;4.5;S1;Universitas Padjadjaran;Administrasi Bisnis
;94;ICBP-Noodle Head Office;89234156;Dedy Firmansyah;HR Admin;ADM HR;MANAGER;03/02/2012;18/06/1984;Male;41.0;13.6;S1;Universitas Indonesia;Akuntansi
;95;ICBP-Noodle Cibitung;67283915;Yulia Prameswari;Marketing EDP Staff;MKT Marketing;STAFF;01/08/2022;20/10/1999;Female;25.0;2.1;S1;Universitas Gunadarma;Sistem Informasi
;96;ICBP-Noodle Tangerang;71829364;Andi Setiawan;QC Auditor Spv;R&D QC/QA;SUPERVISOR;06/06/2015;08/07/1989;Male;36.0;10.3;S1;Universitas Brawijaya;Teknologi Pangan
;97;ICBP-Noodle Bandung;83419275;Nur Aulia;HRIS Spv;ADM HR;SUPERVISOR;18/10/2016;02/09/1990;Female;35.0;9.0;S1;Universitas Indonesia;Sistem Informasi
;98;ICBP-Noodle Palembang;79123468;Faisal Hakim;Buyer;MFG Purchasing;STAFF;20/01/2020;29/03/1995;Male;30.0;5.7;S1;Universitas Trisakti;Manajemen
;99;ICBP-Noodle Head Office;68234971;Shinta Ambarwati;Secretary to GM Marketing;MKT Marketing;STAFF;10/05/2021;06/04/1997;Female;28.0;4.4;S1;Universitas Indonesia;Administrasi Perkantoran
;100;ICBP-Noodle Surabaya;82347915;Yoga Firmansyah;Production Spv;MFG Production;SUPERVISOR;07/03/2015;19/12/1988;Male;36.0;10.5;S1;Universitas Gadjah Mada;Teknik Industri
;101;ICBP-Noodle Head Office;ADMIN01;Admin Head Office;HRIS & Comben Spv;ADM HR;SUPERVISOR;01/08/2025;01/01/1990;Male;;;S1;Universitas Indonesia;Manajemen
;102;ICBP-Noodle Head Office;HR001HO;HR Cabang Head Office;Production Mgr, Act;ADM HR;STAFF;01/08/2025;02/02/1992;Female;;;S1;Universitas Gadjah Mada;Psikologi
;103;ICBP-Noodle Head Office;HD001HO;HD Produksi Head Office;Branch HR Officer;MFG Production;MANAGER;01/08/2025;03/03/1988;Male;;;S3;Institut Teknologi Bandung;Teknik Industri
;104;ICBP-Noodle Head Office;EMP001HO;Karyawan Head Office;QC Process Spv;R&D QC/QA;STAFF;01/08/2025;04/04/1995;Female;;;D3;Politeknik Negeri Jakarta;Analis Kimia
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
